"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","@P1 TC-S01 — Generate button label reflects default video count of 3","chromium","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","2383","@P2 TC-S07 — HQ toggle is present and defaults to off","mobile-safari","2026-03-17","passed","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","2851","@P2 TC-H04 — First video card contains a cookie ID","mobile-chrome","2026-03-17","passed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","3048","@P1 TC-H06 — UUID in debug panel matches the browser cookie value","firefox","2026-03-16","passed","2026-03-16","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","0","@P3 TC-H05 — Refresh button reloads video list without full page navigation","webkit","2026-03-17","skipped","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1971","@P2 TC-S07 — HQ toggle is present and defaults to off","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","0","@P1 TC-S03 — Count 3 (default (3)) updates generate button label","webkit","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1","@P3 TC-H05 — Refresh button reloads video list without full page navigation","firefox","2026-03-17","skipped","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1","@P1 TC-SF05a — Empty script: Parse Script button is disabled","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","1","@P2 TC-S06 — Default aspect ratio is Landscape","firefox","2026-03-17","skipped","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","0","@P1 TC-S03 — Count 5 (maximum (5)) updates generate button label","chromium","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","0","@smoke @P1 TC-S01 — Studio page loads with correct heading","firefox","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@P2 TC-SF03 — Settings applied: 12s-portrait-hq","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","2120","@P1 TC-S01 — Generate button label reflects default video count of 3","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","1515","@smoke @P1 TC-SF01 — Stock Footage page loads with correct heading","mobile-chrome","2026-03-17","passed","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P2 TC-S07 — HQ toggle can be disabled after enabling","firefox","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","1586","@P2 TC-S04 — Value 6 is rejected or clamped to maximum","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","2806","@smoke @P1 TC-H02 — Empty state is shown for a new user with no videos","mobile-chrome","2026-03-17","passed","2026-03-17","History — Your Videos","history\yourVideos.spec.js","",""
"","0","@P1 TC-SF05a — Empty script: Parse Script button is disabled","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P2 TC-H03 — All Videos tab shows videos from multiple different users","webkit","2026-03-17","skipped","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1","@P1 TC-H01 — Your Videos tab shows only videos matching the current user cookie","webkit","2026-03-17","skipped","2026-03-17","History — Your Videos","history\yourVideos.spec.js","",""
"","3357","@smoke @P1 TC-SF01 — Stock Footage page loads with correct heading","mobile-safari","2026-03-17","passed","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P1 TC-SF05b — Empty script: submitting shows validation feedback","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P1 TC-SF01 — Parse Script button is visible and enabled when script is present","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","1402","@P1 TC-S03 — Count 3 (default (3)) updates generate button label","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1","@P2 TC-SF03 — Settings applied: 8s-portrait-standard","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","2137","@P2 TC-SF03 — Settings applied: 4s-landscape-standard","mobile-chrome","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","1958","@P2 TC-SF03 — Settings applied: 8s-portrait-standard","mobile-chrome","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P1 TC-SF05a — Empty script: Parse Script button is disabled","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","2462","@P1 TC-S03 — Count 1 (minimum (1)) updates generate button label","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1635","@P3 TC-N02 — Navigation does not cause full page reload (SPA routing)","mobile-chrome","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1319","@P1 TC-S08a — Empty prompt: generate button is disabled","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@P2 TC-H04 — First video card contains a cookie ID","firefox","2026-03-17","skipped","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1","@P1 TC-SF01 — Script textarea accepts multi-scene screenplay content","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","1753","@P1 TC-SF05b — Empty script: submitting shows validation feedback","mobile-chrome","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P2 TC-N01 — Clicking History nav loads the History page","webkit","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","0","@P2 TC-S04 — Value 6 is rejected or clamped to maximum","webkit","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","0","@P2 TC-N01 — App logo/title link returns to Studio from any page","firefox","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","2363","@P1 TC-H01 — Your Videos tab shows only videos matching the current user cookie","mobile-chrome","2026-03-17","passed","2026-03-17","History — Your Videos","history\yourVideos.spec.js","",""
